,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Deputatskiy,RU,69.3,139.9,-21.75,97,71,3.91,broken clouds
162,Timizart,DZ,36.8,4.2667,45.41,65,0,4.88,clear sky
163,Yazykovo,RU,55.2199,56.1353,-2.54,100,98,4.27,overcast clouds
164,Yaan,NG,7.3833,8.5667,78.89,19,9,5.7,clear sky
165,Swan Hill,AU,-35.3378,143.5544,88.48,50,47,9.8,scattered clouds
166,Concepcion Del Oro,MX,24.6333,-101.4167,63.37,22,98,9.08,overcast clouds
167,Yantal,RU,56.8471,105.2542,-12.46,100,94,2.64,overcast clouds
168,Kahului,US,20.8947,-156.47,80.96,63,20,11.5,few clouds
169,Thompson,CA,55.7435,-97.8558,-9.24,70,75,6.91,broken clouds
170,Luderitz,NA,-26.6481,15.1594,67.3,75,0,21.7,clear sky
171,Henties Bay,NA,-22.116,14.2845,65.86,88,54,10.87,broken clouds
172,Lorengau,PG,-2.0226,147.2712,83.53,74,94,6.04,overcast clouds
173,Norman Wells,CA,65.282,-126.8329,-0.36,78,100,5.75,light snow
174,Lavrentiya,RU,65.5833,-171.0,-11.27,89,37,3.44,scattered clouds
175,Nalut,LY,30.3333,10.85,41.34,40,7,9.08,clear sky
176,Mana,GF,5.6592,-53.7767,76.01,81,54,7.96,broken clouds
177,Sonoita,MX,31.85,-112.8333,65.53,16,9,12.39,clear sky
178,Iqaluit,CA,63.7506,-68.5145,-9.31,76,90,2.3,light snow
179,Port Macquarie,AU,-31.4333,152.9167,80.89,60,44,8.21,scattered clouds
180,Victoria Point,AU,-27.5833,153.3,82.26,73,47,5.01,scattered clouds
181,Porto Uniao,BR,-26.2381,-51.0783,68.18,100,100,1.28,overcast clouds
182,Geraldton,AU,-28.7667,114.6,78.13,47,0,10.36,clear sky
183,Yaring,TH,6.8662,101.3689,75.0,85,71,6.73,broken clouds
184,Viedma,AR,-40.8135,-62.9967,70.52,48,0,19.01,clear sky
185,Amahai,ID,-3.3333,128.9167,81.28,76,99,4.03,overcast clouds
186,Mujiayingzi,CN,42.1167,118.7833,7.7,55,0,6.82,clear sky
187,Sechura,PE,-5.5569,-80.8222,74.66,72,49,13.78,scattered clouds
188,Hambantota,LK,6.1241,81.1185,72.46,76,98,10.27,overcast clouds
189,Severobaykalsk,RU,55.65,109.3167,-9.81,90,14,5.1,few clouds
190,Klyuchi,RU,52.2667,79.1667,-6.38,98,95,6.15,overcast clouds
191,Jalingo,NG,8.8833,11.3667,73.47,20,30,6.76,scattered clouds
192,Saldanha,ZA,-33.0117,17.9442,60.85,85,0,18.01,clear sky
193,Ouallam,NE,14.3188,2.0866,67.87,19,0,11.3,clear sky
