City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Cabedelo,BR,77.67,light rain,-6.9811,-34.8339,Hotel Pigalle
84,Palmerston,AU,82.92,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
85,Kollam,IN,76.87,few clouds,8.8833,76.6,Nani Hotels and Resorts
87,Dingle,PH,79.25,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
90,Port-Gentil,GA,79.77,overcast clouds,-0.7193,8.7815,Fengshui Residence
92,Butaritari,KI,82.38,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
100,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
110,Vao,NC,78.8,light rain,-22.6667,167.4833,Hotel Kou-Bugny
116,Bac Lieu,VN,76.05,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
119,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
120,Itarema,BR,77.16,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
121,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
122,Kribi,CM,79.03,overcast clouds,2.95,9.9167,La Grace Hôtel
124,Kapaa,US,80.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
129,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
133,Kavaratti,IN,78.85,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
145,Byron Bay,AU,80.55,scattered clouds,-28.65,153.6167,Backpackers Inn
148,Luwuk,ID,80.76,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
156,Nabire,ID,83.44,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
165,Swan Hill,AU,88.48,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
168,Kahului,US,80.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
172,Lorengau,PG,83.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
