City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Ukiah,US,2022-01-25 22:42:01,39.1502,-123.2078,71.65,34,0,0.0
123,Hobart,AU,2022-01-25 22:42:01,-42.8794,147.3294,64.02,73,75,5.75
124,Bambous Virieux,MU,2022-01-25 22:42:02,-20.3428,57.7575,77.25,69,40,11.5
125,Hailey,US,2022-01-25 22:42:02,43.5196,-114.3153,28.9,61,0,0.0
126,Saint Anthony,US,2022-01-25 22:42:03,45.0205,-93.218,3.13,61,0,4.0
127,Salta,AR,2022-01-25 22:39:08,-24.7859,-65.4117,77.29,88,75,11.5
128,Saint-Philippe,RE,2022-01-25 22:42:04,-21.3585,55.7679,74.79,79,94,14.07
129,Villa Union,MX,2022-01-25 22:42:04,23.2,-106.2333,74.01,67,25,7.43
130,Florence,IT,2022-01-25 22:39:41,43.7667,11.25,42.98,81,75,2.3
131,San Juan,AR,2022-01-25 22:40:02,-31.5375,-68.5364,82.31,58,41,17.34
132,Pringsewu,ID,2022-01-25 22:42:05,-5.3582,104.9744,72.46,98,96,0.74
133,Sitka,US,2022-01-25 22:43:06,57.0531,-135.33,39.09,87,75,0.0
134,Pingshan,CN,2022-01-25 22:43:06,22.9938,114.7131,63.9,87,97,2.75
135,Luderitz,NA,2022-01-25 22:43:07,-26.6481,15.1594,75.72,57,6,21.61
136,Camargo,MX,2022-01-25 22:43:07,27.6667,-105.1667,67.96,9,2,2.13
137,Santiago Del Estero,AR,2022-01-25 22:41:30,-27.7951,-64.2615,81.97,64,91,8.55
138,Kijang,KR,2022-01-25 22:43:08,35.2442,129.2139,37.13,80,25,5.59
139,Sehithwa,BW,2022-01-25 22:43:08,-20.4667,22.7167,74.89,52,100,5.93
140,Portland,US,2022-01-25 22:42:45,45.5234,-122.6762,55.2,59,20,1.01
141,Nador,MA,2022-01-25 22:43:09,35.174,-2.9287,59.25,77,75,12.66
142,Taksimo,RU,2022-01-25 22:43:10,56.3444,114.8794,-19.43,95,70,1.43
143,Honiara,SB,2022-01-25 22:43:10,-9.4333,159.95,78.87,90,100,6.44
144,Dingle,PH,2022-01-25 22:41:36,10.9995,122.6711,75.72,95,100,9.57
145,Reconquista,AR,2022-01-25 22:43:11,-29.15,-59.65,77.99,86,92,13.27
146,Kinablangan,PH,2022-01-25 22:43:11,7.6947,126.5503,78.37,84,90,5.79
147,Pskov,RU,2022-01-25 22:43:12,57.8136,28.3496,26.51,80,75,6.71
148,Roebourne,AU,2022-01-25 22:43:12,-20.7833,117.1333,82.36,75,6,8.34
149,Dandong,CN,2022-01-25 22:43:13,40.1292,124.3947,19.62,61,0,5.64
150,Cabo San Lucas,MX,2022-01-25 22:42:58,22.8909,-109.9124,75.51,49,0,12.66
151,Jipijapa,EC,2022-01-25 22:39:05,-1.3333,-80.5833,72.9,88,100,4.05
152,Roald,NO,2022-01-25 22:43:14,62.5833,6.1333,43.32,87,75,14.97
153,Acapulco,MX,2022-01-25 22:43:15,16.8634,-99.8901,84.02,65,0,9.22
154,Torbay,CA,2022-01-25 22:43:14,47.6666,-52.7314,29.57,88,75,4.61
155,Castro,BR,2022-01-25 22:43:15,-24.7911,-50.0119,70.38,56,5,3.56
156,Lere,NG,2022-01-25 22:43:16,10.387,8.5726,64.53,21,33,7.02
157,Cape Town,ZA,2022-01-25 22:43:16,-33.9258,18.4232,68.41,75,0,7.0
158,Lorengau,PG,2022-01-25 22:43:17,-2.0226,147.2712,83.59,76,100,4.97
159,Linjiang,CN,2022-01-25 22:43:17,41.8069,126.9078,5.74,98,99,0.83
160,Odweyne,SO,2022-01-25 22:43:18,9.4092,45.064,61.21,31,20,14.97
161,Aklavik,CA,2022-01-25 22:43:18,68.2191,-135.0107,35.6,60,75,18.41
162,Palmer,US,2022-01-25 22:43:19,42.1584,-72.3287,34.56,65,20,9.22
163,Verkhnevilyuysk,RU,2022-01-25 22:39:05,63.4453,120.3167,-12.78,96,100,5.12
164,Watertown,US,2022-01-25 22:40:38,42.3709,-71.1828,38.14,62,40,5.01
165,Touros,BR,2022-01-25 22:42:56,-5.1989,-35.4608,81.5,76,100,13.22
166,Muros,ES,2022-01-25 22:43:20,42.7762,-9.0603,48.24,90,0,9.15
167,Georgetown,MY,2022-01-25 22:43:20,5.4112,100.3354,80.53,93,20,3.0
168,Dudinka,RU,2022-01-25 22:43:21,69.4058,86.1778,1.62,94,100,22.7
169,Bonthe,SL,2022-01-25 22:43:21,7.5264,-12.505,77.61,76,10,7.4
170,Barcelos,PT,2022-01-25 22:43:22,41.5388,-8.6151,49.84,77,0,4.83
171,Oktyabrskoye,RU,2022-01-25 22:43:22,43.0645,44.7417,15.94,100,39,4.47
172,Sobolevo,RU,2022-01-25 22:43:23,54.4299,31.8996,26.87,91,99,11.27
173,Barrow,US,2022-01-25 22:43:23,71.2906,-156.7887,-0.38,71,100,24.16
174,Butaritari,KI,2022-01-25 22:43:24,3.0707,172.7902,81.72,79,52,17.36
175,Alta,NO,2022-01-25 22:43:24,69.9689,23.2717,27.66,76,40,1.01
176,San Carlos De Bariloche,AR,2022-01-25 22:43:25,-41.1456,-71.3082,78.55,36,20,19.57
177,Dire Dawa,ET,2022-01-25 22:43:25,9.5931,41.8661,63.25,66,40,0.98
178,Vizinga,RU,2022-01-25 22:43:26,61.0749,50.1031,10.69,93,90,8.08
179,Mpulungu,ZM,2022-01-25 22:43:27,-8.7623,31.1141,71.47,87,100,0.69
180,Qasigiannguit,GL,2022-01-25 22:43:27,68.8193,-51.1922,14.25,72,83,9.17
181,Inta,RU,2022-01-25 22:44:28,66.0317,60.1659,19.78,85,100,22.17
182,Okhotsk,RU,2022-01-25 22:44:28,59.3833,143.3,-5.71,98,99,5.91
183,Kurilsk,RU,2022-01-25 22:44:29,45.2333,147.8833,23.4,71,98,8.28
184,Lebu,CL,2022-01-25 22:44:29,-37.6167,-73.65,60.64,80,0,15.66
185,Bengkulu,ID,2022-01-25 22:44:29,-3.8004,102.2655,76.98,83,95,2.71
186,Zabol,AF,2022-01-25 22:44:30,32.25,67.25,27.88,62,0,2.17
187,Alta Floresta,BR,2022-01-25 22:44:30,-9.8756,-56.0861,74.03,93,98,1.81
188,Hithadhoo,MV,2022-01-25 22:44:31,-0.6,73.0833,80.87,67,99,15.3
189,Nhulunbuy,AU,2022-01-25 22:44:31,-12.2333,136.7667,79.41,94,75,8.05
190,Heihe,CN,2022-01-25 22:44:32,50.2441,127.4902,-12.42,99,99,2.26
191,Avera,US,2022-01-25 22:41:49,33.194,-82.5271,58.51,70,72,6.02
192,Progreso,MX,2022-01-25 22:44:32,21.2833,-89.6667,82.51,82,44,10.96
193,Namatanai,PG,2022-01-25 22:39:44,-3.6667,152.4333,83.48,73,89,4.38
194,Zholymbet,KZ,2022-01-25 22:44:33,51.7433,71.7122,12.06,81,100,13.58
195,Luanda,AO,2022-01-25 22:44:33,-8.8368,13.2343,77.0,88,40,6.91
196,Dikson,RU,2022-01-25 22:44:34,73.5069,80.5464,11.75,91,100,30.13
197,Saint-Gaudens,FR,2022-01-25 22:44:35,43.0833,0.6667,45.14,64,0,4.76
198,Lebowakgomo,ZA,2022-01-25 22:44:35,-24.2,29.5,68.9,90,100,4.45
199,Katsuura,JP,2022-01-25 22:44:36,35.1333,140.3,42.19,92,99,16.42
200,Rio Gallegos,AR,2022-01-25 22:44:36,-51.6226,-69.2181,55.45,33,40,32.21
201,Choloma,HN,2022-01-25 22:44:37,15.6144,-87.953,89.51,51,20,11.5
202,Iqaluit,CA,2022-01-25 22:44:37,63.7506,-68.5145,-18.67,63,75,2.3
203,Thinadhoo,MV,2022-01-25 22:44:38,0.5333,72.9333,80.47,66,98,13.56
204,Nome,US,2022-01-25 22:44:38,64.5011,-165.4064,-5.73,92,40,4.61
205,Mount Gambier,AU,2022-01-25 22:40:08,-37.8333,140.7667,84.11,42,64,12.66
206,Asau,RO,2022-01-25 22:44:39,46.4333,26.4,20.32,78,97,7.58
